time_s,orr,channel_busy_ratio_avg,mec_dl_busy_ratio,v2v_radio_loss_rate,mec_update_failure_rate,mec_valid_update_success_rate,mec_aoi_violation_rate_200ms,mec_aoi_violation_rate_500ms,mec_aoi_p99_ms,nr_rmr_deleted_total,nr_cpm_size_bytes_total,receiver_rl_mean,receiver_rl_ge1_rate,receiver_rl_ge2_rate,receiver_rv_delooz_mean
1,N/A,0,0.0795862,N/A,N/A,0,0,0,0,0,184214,N/A,0,0,N/A
2,N/A,0,0.0884291,N/A,N/A,0,0,0,0,0,978896,N/A,0,0,N/A
3,18.8128,0.912136,0.0884291,100,N/A,0,0,0,0,0,1575549,0.186114,18.6114,0,0.0938603
4,47.1324,0.898854,1,90.7838,N/A,0,88.0365,25.8723,606,0,1904258,6.21617,46.94,30.8455,0.387603
5,63.5952,0.88702,1,84.9967,100,0,95.2839,70.7781,1096,0,2111019,7.11431,55.6258,41.371,0.484629
6,72.1581,0.877927,1,80.2899,100,0,97.3298,83.4551,1459,0,2270265,6.95873,57.0448,43.6263,0.504004
7,77.4936,0.868223,1,77.2327,100,0,98.2235,88.9925,1687,0,2393111,6.54997,55.8418,42.8587,0.494839
8,81.0758,0.872371,0.955926,74.2925,100,0,98.7018,91.9559,1845,0,2492662,6.10409,54.1208,41.3207,0.479435
9,83.5491,0.861833,0.89679,71.8695,100,0,99.0029,93.8219,1899,0,2575997,5.6768,52.1522,39.5307,0.461565
10,85.0444,0.857289,0.856348,70.4096,100,0,99.2024,95.0576,1898,0,2647577,5.2564,50.1945,37.6188,0.443187
11,85.9561,0.856406,0.823518,68.9832,100,0,99.339,95.9046,1897,0,2710200,4.9073,48.2543,35.6333,0.424542
12,86.4065,0.843108,0.772815,67.7733,100,0,99.4369,96.5108,1896,0,2764892,4.60762,46.5625,34.0571,0.408859
13,86.4062,0.848611,0.732468,66.9247,100,0,99.5104,96.9663,1894,0,2813147,4.33246,44.93,32.4407,0.39334
14,86.4975,0.843951,0.690965,66.1707,100,0,99.5686,97.3268,1893,0,2855742,4.09055,43.3656,31.057,0.378992
15,86.0224,0.843206,0.65862,65.5176,100,0,99.615,93.8968,1892,0,2895137,3.87555,41.9267,29.7655,0.365767
16,85.7534,0.841641,0.629337,64.8948,100,0,94.6495,86.8537,1891,0,2929295,3.68718,40.5072,28.5498,0.352999
17,86.7032,0.852719,0.609116,64.2003,93.8539,6.14606,91.0055,81.9246,1891,0,2963323,3.52246,39.2438,27.5067,0.341722
18,87.5343,0.856922,0.589348,63.6337,89.6967,10.3033,87.5489,77.6466,1890,0,2996903,3.37534,38.0899,26.5835,0.331617
19,88.2675,0.857718,0.569882,62.8505,85.3137,14.6863,84.0601,73.7067,1889,0,3029771,3.24806,37.1044,25.8094,0.323034
20,88.9193,0.862804,0.551906,62.2261,81.4081,18.5919,81.7966,70.4446,1889,0,3063807,3.13204,36.127,25.0398,0.314543
