time_s,orr,channel_busy_ratio_avg,mec_dl_busy_ratio,v2v_radio_loss_rate,mec_update_failure_rate,mec_valid_update_success_rate,mec_aoi_violation_rate_200ms,mec_aoi_violation_rate_500ms,mec_aoi_p99_ms,nr_rmr_deleted_total,nr_cpm_size_bytes_total,receiver_rl_mean,receiver_rl_ge1_rate,receiver_rl_ge2_rate,receiver_rv_delooz_mean
1,N/A,0,0.0795862,N/A,N/A,0,0,0,0,3875,71549,N/A,0,0,N/A
2,N/A,0,0.0884291,N/A,N/A,0,0,0,0,3875,866231,N/A,0,0,N/A
3,18.8128,0.912136,0.0884291,100,N/A,0,0,0,0,3875,1462884,0.186114,18.6114,0,0.0938603
4,47.1324,0.865206,0.925484,90.7838,N/A,0,75.2573,0,284,10510,1556428,6.21617,46.94,30.8455,0.387603
5,63.0688,0.832718,0.900047,83.5876,91.8079,8.19212,61.4451,0,282,13744,1610430,5.14876,49.7631,34.2264,0.419022
6,72.3016,0.822961,0.847999,79.5513,57.7687,42.2313,58.8351,0,280,15758,1651456,4.25805,46.6427,31.3128,0.389274
7,77.8413,0.816348,0.808662,76.6797,52.5929,47.4071,53.7173,0,279,17139,1684266,3.65189,43.5415,28.0681,0.358066
8,81.5344,0.798821,0.745573,74.0711,41.2792,58.7208,45.7812,0,277,18166,1705462,3.20842,40.7563,25.5399,0.332076
9,84.17,0.81608,0.736031,72.3489,39.9833,60.0167,42.1615,0,276,18950,1728774,2.83958,37.9677,22.9752,0.305848
10,86.1487,0.810571,0.702155,70.4842,34.0694,65.9306,41.2957,0,275,19672,1748286,2.57999,35.8986,21.1731,0.287094
11,87.6878,0.821303,0.687852,69.334,33.4395,66.5605,39.9699,0,274,20316,1765122,2.36041,33.9916,19.6228,0.270027
12,88.919,0.808599,0.647075,68.4709,32.2292,67.7708,38.1862,0,273,20786,1782746,2.17405,32.2869,18.1549,0.254724
13,89.9264,0.817295,0.630907,67.6093,30.9461,69.0539,36.7476,0,273,21192,1799528,2.02128,30.7588,16.9305,0.241443
14,90.7658,0.820616,0.59684,66.8493,28.3647,71.6353,35.9859,0,272,21522,1815272,1.89718,29.3737,15.9105,0.229645
15,91.4762,0.821829,0.558626,65.9042,26.4838,73.5162,34.3528,0,271,21839,1828468,1.7939,28.2656,15.0986,0.220389
16,92.085,0.822038,0.53297,65.3413,24.9716,75.0284,32.8375,0,270,22106,1840608,1.69981,27.0927,14.2845,0.210648
17,92.6127,0.838037,0.492402,64.6565,23.5081,76.4919,32.5001,0,270,22417,1851260,1.61716,26.0855,13.5917,0.20239
18,93.0744,0.840382,0.529141,64.0624,22.509,77.491,31.9012,0,269,22646,1867058,1.54368,25.102,12.9548,0.194473
19,93.4818,0.842214,0.479158,63.3263,21.6077,78.3923,31.056,0,269,22951,1878304,1.48434,24.2931,12.4988,0.188339
20,93.8439,0.848722,0.496394,62.6196,20.7105,79.2895,31.0425,0,268,23171,1894674,1.42736,23.4939,12.0233,0.182192
21,94.1679,0.85825,0.48704,61.9358,20.0507,79.9493,30.392,0,268,23410,1909836,1.37884,22.7798,11.656,0.177009
22,94.4595,0.856063,0.406575,61.2048,19.3069,80.6931,29.2534,0,267,23739,1919066,1.33617,22.0943,11.3247,0.172131
23,94.7233,0.859573,0.406692,60.6076,18.6131,81.3869,28.6733,0,267,24015,1929122,1.29309,21.3747,10.9534,0.166804
24,94.9632,0.873522,0.423034,60.1062,18.0478,81.9522,27.7682,0,266,24216,1941062,1.25323,20.6958,10.6049,0.161753
25,95.1822,0.87466,0.414078,59.5897,17.486,82.514,27.1173,0,266,24401,1952374,1.21744,20.1239,10.2982,0.157515
26,95.3829,0.880964,0.363306,58.9477,17.022,82.978,26.4647,0,265,24616,1961240,1.18503,19.5985,10.0422,0.153662
27,95.5676,0.882693,0.399055,58.4499,16.5809,83.4191,26.2562,0,265,24755,1973478,1.15356,19.0588,9.7656,0.149577
28,95.614,0.893259,0.396109,57.8797,17.1645,82.8355,25.9643,0,264,24879,1985418,1.12516,18.606,9.52479,0.146176
29,95.7765,0.897041,0.385326,57.2878,16.7766,83.2234,25.9218,0,264,25019,1996598,1.09842,18.1693,9.29697,0.142881
30,95.9268,0.900086,0.375294,56.7248,16.4377,83.5623,25.5246,0,263,25159,2007282,1.07354,17.772,9.0942,0.139886
31,96.0661,0.894618,0.359337,56.2687,16.0784,83.9216,25.0915,0,263,25281,2016810,1.04954,17.3725,8.8876,0.13684
32,96.1927,0.907107,0.341372,55.8385,16.1897,83.8103,24.8909,0,263,25402,2025610,1.02641,16.9788,8.68434,0.133829
33,96.3155,0.909441,0.395425,55.4788,16.232,83.768,24.6846,0,262,25562,2038466,1.00406,16.5979,8.48954,0.130889
34,96.4307,0.902164,0.427878,55.0204,15.8949,84.1051,24.4481,0,262,25850,2054945,0.983008,16.2626,8.30641,0.128301
35,96.5388,0.908984,0.437033,54.5662,15.5734,84.4266,24.0492,0,261,26344,2071621,0.96297,15.9556,8.13527,0.125989
36,96.6406,0.913936,0.451955,54.0705,15.2587,84.7413,23.8573,0,261,26972,2090703,0.943291,15.6413,7.95998,0.123643
37,96.7359,0.915415,0.482028,53.7268,15.0031,84.9969,23.5888,0,261,27862,2111189,0.923964,15.338,7.78749,0.12135
38,96.8266,0.915674,0.516649,53.3003,14.848,85.152,23.3703,0,260,28992,2137171,0.905248,15.0394,7.6201,0.119187
39,96.9124,0.91698,0.550064,53.1006,14.5854,85.4146,23.1405,0,260,30684,2169453,0.887321,14.7726,7.45886,0.117277
40,96.9936,0.921449,0.573272,52.836,14.4496,85.5504,23.0812,0,259,32870,2205962,0.870594,14.5443,7.31685,0.115785
41,97.0701,0.919851,0.616884,52.6006,14.1866,85.8134,22.8479,0,259,35386,2250656,0.854509,14.3425,7.18331,0.114461
42,97.1431,0.919322,0.632833,52.4512,13.9297,86.0703,22.6853,0,258,38264,2298412,0.839625,14.1911,7.06585,0.113582
43,97.2126,0.920328,0.665326,52.5609,13.6609,86.3391,22.5577,0,258,41646,2344758,0.824577,14.0136,6.93949,0.112546
44,97.279,0.924604,0.687303,52.6765,13.3762,86.6238,22.5624,0,257,45134,2397969,0.809916,13.853,6.80985,0.111575
45,97.2744,0.922062,0.724487,52.8961,14.2825,85.7175,22.4125,0,256,48833,2461850,0.795649,13.6957,6.68644,0.110688
46,97.3364,0.920693,0.740358,53.236,13.9991,86.0009,22.3081,0,256,53183,2528318,0.782632,13.5814,6.57463,0.1102
47,97.3956,0.922178,0.755776,53.565,13.7538,86.2462,22.2189,0,255,58047,2597344,0.770107,13.4871,6.46435,0.109875
48,97.4522,0.92498,0.784098,54.001,13.6008,86.3992,22.2003,0,255,63244,2682330,0.757747,13.3758,6.35743,0.109457
49,97.5064,0.922967,0.845214,54.5314,13.3176,86.6824,22.614,0,255,68831,2777361,0.746926,13.3384,6.27713,0.109606
50,97.5582,0.923671,0.83977,55.189,13.7572,86.2428,22.5491,0,254,75529,2856455,0.736931,13.334,6.1972,0.110062
51,97.608,0.922948,0.870066,55.7181,13.4892,86.5108,22.8868,0,254,82439,2952294,0.725659,13.2524,6.08696,0.109816
52,97.6554,0.92511,0.898421,56.4005,14.087,85.913,23.3196,0,255,89826,3057489,0.715804,13.2051,6.00739,0.10995
53,97.6738,0.92245,0.874365,57.0178,15.3443,84.6557,23.9481,0,255,97783,3155092,0.707327,13.2168,5.93686,0.110559
54,97.718,0.923188,0.911333,57.5283,15.7604,84.2396,24.4375,0,254,105332,3256804,0.698384,13.1986,5.86211,0.110814
55,97.761,0.925425,0.87755,57.959,16.171,83.829,24.5674,0,254,112580,3359885,0.690631,13.2028,5.80838,0.111349
56,97.8023,0.924478,0.86584,58.3619,15.9113,84.0887,24.6804,0,254,119711,3467085,0.683143,13.2133,5.75254,0.111839
57,97.8411,0.923792,0.878177,58.7931,16.3448,83.6552,24.9988,0,254,126996,3571472,0.675967,13.2124,5.69861,0.112217
58,97.8795,0.923619,0.853302,59.1676,16.2504,83.7496,25.2535,0,254,134528,3666541,0.669578,13.2248,5.65958,0.112712
59,97.9149,0.92428,0.841329,59.4253,16.7082,83.2918,25.2968,0,253,141824,3766676,0.663514,13.2423,5.61111,0.113215
