time_s,orr,channel_busy_ratio_avg,mec_dl_busy_ratio,v2v_radio_loss_rate,mec_update_failure_rate,mec_valid_update_success_rate,mec_aoi_violation_rate_200ms,mec_aoi_violation_rate_500ms,mec_aoi_p99_ms,nr_rmr_deleted_total,nr_cpm_size_bytes_total
1,N/A,0,1,N/A,N/A,0,87.1962,49.3236,809,0,0
2,N/A,0,1,N/A,N/A,0,94.3144,77.4969,1682,0,0
3,18.8128,0.690741,1,N/A,100,0,96.3464,85.5392,2571,0,0
4,18.7358,0.748291,1,N/A,100,0,97.3019,89.3213,3362.59,0,0
5,18.6085,0.730953,1,N/A,100,0,97.8652,91.5507,4252,0,0
6,18.5343,0.721733,1,N/A,100,0,98.2339,93.0098,5142,0,0
7,18.3984,0.713187,1,N/A,100,0,98.492,94.0314,5933,0,0
8,18.2894,0.717597,1,N/A,100,0,98.6857,94.7983,6822,0,0
9,18.1668,0.71541,1,N/A,100,0,98.8353,95.3903,7712,0,0
10,18.0676,0.71547,1,N/A,100,0,98.9534,95.8575,8503,0,0
11,18.0055,0.725988,1,N/A,100,0,99.0505,96.2421,9393,0,0
12,17.9562,0.723274,1,N/A,100,0,99.1305,96.5588,10272,0,0
13,17.9199,0.743443,1,N/A,100,0,99.1987,96.8286,11074,0,0
14,17.9034,0.7458,1,N/A,100,0,99.2569,97.059,11963,0,0
15,17.9021,0.743318,1,N/A,100,0,99.3069,97.2566,12831,0,0
16,17.9073,0.760651,1,N/A,100,0,99.3509,97.4309,13644,0,0
17,17.9197,0.785167,1,N/A,100,0,99.3896,97.5842,14534,0,0
18,17.9386,0.787665,1,N/A,100,0,99.4237,97.7192,15385,0,0
19,17.9505,0.78151,1,N/A,100,0,99.4545,97.8408,16213,0,0
20,17.9578,0.785334,1,N/A,100,0,99.4821,97.9502,17104,0,0
21,17.953,0.799156,1,N/A,100,0,99.5068,98.0481,17940,0,0
22,17.9386,0.794076,1,N/A,100,0,99.5295,98.1379,18784,0,0
23,17.907,0.80891,1,N/A,100,0,99.55,98.2191,19665,0,0
24,17.864,0.829603,1,N/A,100,0,99.569,98.2941,20488,0,0
25,17.8144,0.826438,1,N/A,100,0,99.5864,98.3631,21354,0,0
26,17.7544,0.839315,1,N/A,100,0,99.6024,98.4262,22235,0,0
27,17.685,0.851027,1,N/A,100,0,99.6173,98.4852,23036,0,0
28,17.6086,0.86072,1,N/A,100,0,99.6311,98.5399,23925,0,0
29,17.5285,0.858924,1,N/A,100,0,99.6438,98.5903,24806,0,0
30,17.4508,0.870409,1,N/A,100,0,99.6558,98.6377,25605,0,0
31,17.3707,0.877138,1,N/A,100,0,99.667,98.6821,26495,0,0
32,17.2896,0.875031,1,N/A,100,0,99.6774,98.7233,27374,0,0
33,17.2134,0.88193,1,N/A,100,0,99.6873,98.7623,28175,0,0
34,17.1471,0.891992,1,N/A,100,0,99.6965,98.7987,29057,0,0
35,17.0911,0.892885,1,N/A,100,0,99.7052,98.8334,29917,0,0
36,17.0416,0.897365,1,N/A,100,0,99.7135,98.8661,30746,0,0
37,16.9952,0.898147,1,N/A,100,0,99.7212,98.8967,31628,0,0
38,16.9464,0.902599,1,N/A,100,0,99.7286,98.926,32456,0,0
39,16.8984,0.902453,1,N/A,100,0,99.7357,98.9538,33316,0,0
40,16.8491,0.911299,1,N/A,100,0,99.7423,98.9799,34197,0,0
41,16.8027,0.900578,1,N/A,100,0,99.7486,99.005,34996,0,0
42,16.7556,0.908094,1,N/A,100,0,99.7546,99.0286,35878,0,0
43,16.7134,0.90522,1,N/A,100,0,99.7603,99.0514,36758,0,0
44,16.6611,0.90693,1,N/A,100,0,99.7658,99.0731,37567,0,0
45,16.616,0.913699,1,N/A,100,0,99.771,99.0937,38448,0,0
46,16.5626,0.913478,1,N/A,100,0,99.776,99.1135,39284,0,0
47,16.5095,0.91368,1,N/A,100,0,99.7808,99.1324,40128,0,0
48,16.455,0.904127,1,N/A,100,0,99.7854,99.1506,41018,0,0
49,16.397,0.908848,1,N/A,100,0,99.7898,99.168,41817,0,0
50,16.3399,0.910783,1,N/A,100,0,99.794,99.1846,42698,0,0
51,16.2765,0.91556,1,N/A,100,0,99.7981,99.2007,43551,0,0
52,16.2246,0.908617,1,N/A,100,0,99.8019,99.2161,44379,0,0
53,16.1715,0.91069,1,N/A,100,0,99.8057,99.231,45269,0,0
54,16.1291,0.915481,1,N/A,100,0,99.8093,99.2453,46068,0,0
55,16.0771,0.918256,1,N/A,100,0,99.8128,99.259,46949,0,0
56,16.0205,0.912227,1,N/A,100,0,99.8161,99.2723,47791,0,0
57,15.9561,0.913015,1,N/A,100,0,99.8194,99.2851,48630,0,0
58,15.8934,0.918041,1,N/A,100,0,99.8225,99.2975,49520,0,0
59,15.828,0.916382,1,N/A,100,0,99.8255,99.3094,50310,0,0
60,15.7651,0.912607,1,N/A,100,0,99.8284,99.321,51200,0,0
61,15.6972,0.909991,1,N/A,100,0,99.8312,99.3321,51990,0,0
62,15.634,0.910636,1,N/A,100,0,99.834,99.3429,52881,0,0
63,15.5658,0.905288,1,N/A,100,0,99.8366,99.3534,53706,0,0
64,15.5041,0.90511,1,N/A,100,0,99.8392,99.3635,54561,0,0
65,15.4377,0.909588,1,N/A,100,0,99.8417,99.3734,55418,0,0
66,15.3783,0.906742,1,N/A,100,0,99.8441,99.3828,56241,0,0
67,15.3149,0.909354,1,N/A,100,0,99.8464,99.3921,57119,0,0
68,15.2558,0.901404,1,N/A,100,0,99.8487,99.401,57921,0,0
69,15.1948,0.90268,1,N/A,100,0,99.8509,99.4098,58810,0,0
70,15.1363,0.892148,1,N/A,100,0,99.853,99.4182,59601,0,0
71,15.0771,0.893936,1,N/A,100,0,99.8551,99.4264,60492,0,0
72,15.021,0.891438,1,N/A,100,0,99.8571,99.4343,61280,0,0
73,14.9647,0.879567,1,N/A,100,0,99.859,99.4421,62155,0,0
74,14.91,0.879684,1,N/A,100,0,99.861,99.4497,62962,0,0
75,14.8551,0.872352,1,N/A,100,0,99.8628,99.457,63812,0,0
76,14.799,0.86912,1,N/A,100,0,99.8646,99.4642,64642,0,0
77,14.7421,0.857505,1,N/A,100,0,99.8664,99.4711,65460,0,0
78,14.688,0.84694,1,N/A,100,0,99.8681,99.4779,66322,0,0
79,14.6397,0.834898,1,N/A,100,0,99.8698,99.4845,67112,0,0
80,14.5959,0.834331,1,N/A,100,0,99.8714,99.491,67993.9,0,0
81,14.5562,0.828841,1,N/A,100,0,99.873,99.4973,68793,0,0
82,14.5174,0.829814,1,N/A,100,0,99.8745,99.5034,69629,0,0
83,14.4786,0.816767,1,N/A,100,0,99.876,99.5094,70474,0,0
84,14.4398,0.798169,1,N/A,100,0,99.8775,99.5152,71264,0,0
85,14.4005,0.800046,1,N/A,100,0,99.879,99.5209,72138,0,0
86,14.3605,0.791092,1,N/A,100,0,99.8804,99.5265,72943,0,0
87,14.3199,0.779077,1,N/A,100,0,99.8817,99.532,73734,0,0
88,14.2789,0.768243,1,N/A,100,0,99.8831,99.5373,74615,0,0
89,14.2398,0.774851,1,N/A,100,0,99.8844,99.5425,75406,0,0
90,14.2037,0.762619,1,N/A,100,0,99.8857,99.5476,76204,0,0
91,14.1675,0.741565,1,N/A,100,0,99.8869,99.5525,77076,0,0
92,14.1333,0.735939,1,N/A,100,0,99.8882,99.5574,77876,0,0
93,14.1015,0.734317,1,N/A,100,0,99.8894,99.5622,78674,0,0
94,14.0724,0.735388,1,N/A,100,0,99.8906,99.5668,79501,0,0
95,14.0445,0.736345,1,N/A,100,0,99.8917,99.5714,80346,0,0
96,14.0176,0.725444,1,N/A,100,0,99.8928,99.5758,81136,0,0
97,13.9913,0.724476,1,N/A,100,0,99.8939,99.5802,81930,0,0
98,13.9653,0.698414,1,N/A,100,0,99.895,99.5845,82760,0,0
99,13.9402,0.704559,1,N/A,100,0,99.8961,99.5887,83606,0,0
