time_s,orr,channel_busy_ratio_avg,mec_dl_busy_ratio,mec_aoi_p99_ms,nr_rmr_deleted_total,nr_cpm_size_bytes_total
1,N/A,0,0,0,0,184214
2,N/A,0,0,0,0,978896
3,18.8128,0.912136,0,0,0,1575549
4,47.1324,0.898854,0,0,0,1904258
5,63.5952,0.88702,0,0,0,2111019
6,72.1581,0.877927,0,0,0,2270265
7,77.4936,0.868223,0,0,0,2393111
8,81.0758,0.872371,0,0,0,2492662
9,83.5491,0.861833,0,0,0,2575997
10,85.0444,0.857289,0,0,0,2647577
11,85.9561,0.856406,0,0,0,2710200
12,86.4065,0.843108,0,0,0,2764892
13,86.4062,0.848611,0,0,0,2813147
14,86.4975,0.843951,0,0,0,2855742
15,86.0224,0.843206,0,0,0,2895137
16,85.7534,0.841641,0,0,0,2929295
17,85.1914,0.852719,0,0,0,2963323
18,84.6505,0.856922,0,0,0,2996903
19,84.2283,0.857718,0,0,0,3029771
20,83.6733,0.862804,0,0,0,3063807
21,83.0072,0.870467,0,0,0,3097859
22,82.5265,0.870082,0,0,0,3129075
23,81.8156,0.871708,0,0,0,3158383
24,81.1923,0.877757,0,0,0,3184867
25,80.4495,0.880897,0,0,0,3209015
26,79.7271,0.886977,0,0,0,3233499
27,79.0877,0.887433,0,0,0,3255623
28,78.654,0.894903,0,0,0,3275463
29,77.7632,0.898564,0,0,0,3294939
30,77.0074,0.902196,0,0,0,3313919
31,76.1833,0.896745,0,0,0,3332171
32,75.3054,0.909014,0,0,0,3349897
33,74.4933,0.911434,0,0,0,3372446
34,74.0709,0.907111,0,0,0,3404996
35,73.7409,0.912413,0,0,0,3447812
36,73.5175,0.915636,0,0,0,3504226
37,73.2407,0.917659,0,0,0,3570222
38,73.1483,0.917298,0,0,0,3649689
39,73.0546,0.9204,0,0,0,3755866
40,73.0159,0.922941,0,0,0,3884143
41,73.0029,0.923044,0,0,0,4036087
42,73.0867,0.921363,0,0,0,4209720
43,73.022,0.922332,0,0,0,4400799
44,73.0614,0.926259,0,0,0,4607994
45,73.102,0.924025,0,0,0,4833572
46,73.2144,0.923884,0,0,0,5086259
47,73.3811,0.924209,0,0,0,5363841
48,73.5359,0.926497,0,0,0,5663918
49,73.6502,0.925063,0,0,0,5999275
50,73.7225,0.924932,0,0,0,6360378
51,73.8247,0.925572,0,0,0,6745180
52,73.9377,0.926814,0,0,0,7153366
53,74.1062,0.925486,0,0,0,7580969
54,74.2993,0.926745,0,0,0,8018249
55,74.4584,0.927455,0,0,0,8459975
56,74.5447,0.926491,0,0,0,8902250
57,74.6228,0.926071,0,0,0,9343075
58,74.6312,0.92575,0,0,0,9780261
59,74.6236,0.926443,0,0,0,10207268
60,74.5966,0.926151,0,0,0,10616893
61,74.5263,0.926142,0,0,0,10997985
62,74.4023,0.926038,0,0,0,11364906
63,74.2827,0.925283,0,0,0,11693927
64,74.1064,0.924734,0,0,0,12005321
65,73.9263,0.919865,0,0,0,12287468
66,73.7537,0.923892,0,0,0,12539780
67,73.5744,0.921739,0,0,0,12760597
68,73.3702,0.922738,0,0,0,12950761
69,73.0854,0.922945,0,0,0,13122654
70,72.8421,0.918982,0,0,0,13269674
71,72.5954,0.916886,0,0,0,13390476
72,72.2941,0.916113,0,0,0,13490811
73,72.0442,0.911947,0,0,0,13566462
74,71.7089,0.907368,0,0,0,13622791
75,71.308,0.901778,0,0,0,13663472
76,70.897,0.899125,0,0,0,13688752
77,70.4259,0.900198,0,0,0,13705080
78,69.9641,0.893937,0,0,0,13718574
79,69.4969,0.893137,0,0,0,13730448
80,69.0355,0.88489,0,0,0,13741760
81,68.5861,0.887332,0,0,0,13752840
82,68.1565,0.878851,0,0,0,13763458
83,67.7148,0.879676,0,0,0,13773514
84,67.2614,0.863658,0,0,0,13783570
85,66.8225,0.869375,0,0,0,13793956
86,66.3805,0.871928,0,0,0,13804356
87,65.9524,0.859105,0,0,0,13813784
88,65.5419,0.85851,0,0,0,13823212
89,65.1093,0.852514,0,0,0,13832640
90,64.6885,0.844558,0,0,0,13842068
91,64.2535,0.843796,0,0,0,13851496
92,63.8493,0.850026,0,0,0,13861354
93,63.4973,0.834736,0,0,0,13752102
94,63.1382,0.835307,0,0,0,13627688
95,62.7832,0.844457,0,0,0,13496686
96,62.4708,0.825425,0,0,0,13454775
97,62.1582,0.833745,0,0,0,13338821
98,61.8679,0.81217,0,0,0,13091433
99,61.5811,0.825138,0,0,0,12919837
