time_s,orr,channel_busy_ratio_avg,mec_dl_busy_ratio,v2v_radio_loss_rate,mec_update_failure_rate,mec_valid_update_success_rate,mec_aoi_violation_rate_200ms,mec_aoi_violation_rate_500ms,mec_aoi_p99_ms,nr_rmr_deleted_total,nr_cpm_size_bytes_total,receiver_rl_mean,receiver_rl_ge1_rate,receiver_rl_ge2_rate,receiver_rv_delooz_mean
1,N/A,0,0,N/A,N/A,0,0,0,0,3875,71549,N/A,0,0,N/A
2,N/A,0,0,N/A,N/A,0,0,0,0,3875,866231,N/A,0,0,N/A
3,18.8128,0.912136,0,100,N/A,0,0,0,0,3875,1462884,0.186114,18.6114,0,0.0938603
4,47.1324,0.865206,0,90.7838,N/A,0,0,0,0,10510,1556428,6.21617,46.94,30.8455,0.387603
5,62.7725,0.832718,0,83.5876,N/A,0,0,0,0,13744,1610430,5.14876,49.7631,34.2264,0.419022
6,69.6928,0.822961,0,79.5513,N/A,0,0,0,0,15758,1651456,4.25805,46.6427,31.3128,0.389274
7,73.8606,0.816348,0,76.6797,N/A,0,0,0,0,17139,1684266,3.65189,43.5415,28.0681,0.358066
8,76.4666,0.798821,0,74.0711,N/A,0,0,0,0,18166,1705462,3.20842,40.7563,25.5399,0.332076
9,77.1521,0.81608,0,72.3489,N/A,0,0,0,0,18950,1728774,2.83958,37.9677,22.9752,0.305848
10,78.5135,0.810571,0,70.4842,N/A,0,0,0,0,19672,1748286,2.57999,35.8986,21.1731,0.287094
11,78.4829,0.821303,0,69.334,N/A,0,0,0,0,20316,1765122,2.36041,33.9916,19.6228,0.270027
12,76.9002,0.808599,0,68.4709,N/A,0,0,0,0,20786,1782746,2.17405,32.2869,18.1549,0.254724
13,76.4324,0.817295,0,67.6093,N/A,0,0,0,0,21192,1799528,2.02128,30.7588,16.9305,0.241443
14,75.563,0.820616,0,66.8493,N/A,0,0,0,0,21522,1815272,1.89718,29.3737,15.9105,0.229645
15,74.7233,0.821829,0,65.9042,N/A,0,0,0,0,21839,1828468,1.7939,28.2656,15.0986,0.220389
16,73.3299,0.822038,0,65.3413,N/A,0,0,0,0,22106,1840608,1.69981,27.0927,14.2845,0.210648
17,72.0435,0.838037,0,64.6565,N/A,0,0,0,0,22417,1851260,1.61716,26.0855,13.5917,0.20239
18,70.6552,0.840382,0,64.0624,N/A,0,0,0,0,22646,1867058,1.54368,25.102,12.9548,0.194473
19,70.051,0.842214,0,63.3263,N/A,0,0,0,0,22951,1878304,1.48434,24.2931,12.4988,0.188339
20,69.1662,0.848722,0,62.6196,N/A,0,0,0,0,23171,1894674,1.42736,23.4939,12.0233,0.182192
21,68.5845,0.85825,0,61.9358,N/A,0,0,0,0,23410,1909836,1.37884,22.7798,11.656,0.177009
22,67.9416,0.856063,0,61.2048,N/A,0,0,0,0,23739,1919066,1.33617,22.0943,11.3247,0.172131
23,66.94,0.859573,0,60.6076,N/A,0,0,0,0,24015,1929122,1.29309,21.3747,10.9534,0.166804
24,65.9746,0.873522,0,60.1062,N/A,0,0,0,0,24216,1941062,1.25323,20.6958,10.6049,0.161753
25,65.2485,0.87466,0,59.5897,N/A,0,0,0,0,24401,1952374,1.21744,20.1239,10.2982,0.157515
26,64.5331,0.880964,0,58.9477,N/A,0,0,0,0,24616,1961240,1.18503,19.5985,10.0422,0.153662
27,63.7358,0.882693,0,58.4499,N/A,0,0,0,0,24755,1973478,1.15356,19.0588,9.7656,0.149577
28,63.4996,0.893259,0,57.8797,N/A,0,0,0,0,24879,1985418,1.12516,18.606,9.52479,0.146176
29,62.8398,0.897041,0,57.2878,N/A,0,0,0,0,25019,1996598,1.09842,18.1693,9.29697,0.142881
30,62.3189,0.900086,0,56.7248,N/A,0,0,0,0,25159,2007282,1.07354,17.772,9.0942,0.139886
31,61.7711,0.894618,0,56.2687,N/A,0,0,0,0,25281,2016810,1.04954,17.3725,8.8876,0.13684
32,60.9696,0.907107,0,55.8385,N/A,0,0,0,0,25402,2025610,1.02641,16.9788,8.68434,0.133829
33,60.0995,0.909441,0,55.4788,N/A,0,0,0,0,25562,2038466,1.00406,16.5979,8.48954,0.130889
34,59.7704,0.902164,0,55.0204,N/A,0,0,0,0,25850,2054945,0.983008,16.2626,8.30641,0.128301
35,59.5672,0.908984,0,54.5662,N/A,0,0,0,0,26344,2071621,0.96297,15.9556,8.13527,0.125989
36,59.4681,0.913936,0,54.0705,N/A,0,0,0,0,26972,2090703,0.943291,15.6413,7.95998,0.123643
37,59.1771,0.915415,0,53.7268,N/A,0,0,0,0,27862,2111189,0.923964,15.338,7.78749,0.12135
38,59.0852,0.915674,0,53.3003,N/A,0,0,0,0,28992,2137171,0.905248,15.0394,7.6201,0.119187
39,59.0723,0.91698,0,53.1006,N/A,0,0,0,0,30684,2169453,0.887321,14.7726,7.45886,0.117277
40,59.0777,0.921449,0,52.836,N/A,0,0,0,0,32870,2205962,0.870594,14.5443,7.31685,0.115785
41,59.2165,0.919851,0,52.6006,N/A,0,0,0,0,35386,2250656,0.854509,14.3425,7.18331,0.114461
42,59.4104,0.919322,0,52.4512,N/A,0,0,0,0,38264,2298412,0.839625,14.1911,7.06585,0.113582
43,59.539,0.920328,0,52.5609,N/A,0,0,0,0,41646,2344758,0.824577,14.0136,6.93949,0.112546
44,59.7102,0.924604,0,52.6765,N/A,0,0,0,0,45134,2397969,0.809916,13.853,6.80985,0.111575
45,59.9032,0.922062,0,52.8961,N/A,0,0,0,0,48833,2461850,0.795649,13.6957,6.68644,0.110688
46,60.2325,0.920693,0,53.236,N/A,0,0,0,0,53183,2528318,0.782632,13.5814,6.57463,0.1102
47,60.5627,0.922178,0,53.565,N/A,0,0,0,0,58047,2597344,0.770107,13.4871,6.46435,0.109875
48,60.8633,0.92498,0,54.001,N/A,0,0,0,0,63244,2682330,0.757747,13.3758,6.35743,0.109457
49,61.226,0.922967,0,54.5314,N/A,0,0,0,0,68831,2777361,0.746926,13.3384,6.27713,0.109606
50,61.6717,0.923671,0,55.189,N/A,0,0,0,0,75529,2856455,0.736931,13.334,6.1972,0.110062
51,61.9545,0.922948,0,55.7181,N/A,0,0,0,0,82439,2952294,0.725659,13.2524,6.08696,0.109816
52,62.3218,0.92511,0,56.4005,N/A,0,0,0,0,89826,3057489,0.715804,13.2051,6.00739,0.10995
53,62.7981,0.92245,0,57.0178,N/A,0,0,0,0,97783,3155092,0.707327,13.2168,5.93686,0.110559
54,63.276,0.923188,0,57.5283,N/A,0,0,0,0,105332,3256804,0.698384,13.1986,5.86211,0.110814
55,63.6923,0.925425,0,57.959,N/A,0,0,0,0,112580,3359885,0.690631,13.2028,5.80838,0.111349
56,64.1596,0.924478,0,58.3619,N/A,0,0,0,0,119711,3467085,0.683143,13.2133,5.75254,0.111839
57,64.5389,0.923792,0,58.7931,N/A,0,0,0,0,126996,3571472,0.675967,13.2124,5.69861,0.112217
58,64.8408,0.923619,0,59.1676,N/A,0,0,0,0,134528,3666541,0.669578,13.2248,5.65958,0.112712
59,65.0977,0.92428,0,59.4253,N/A,0,0,0,0,141824,3766676,0.663514,13.2423,5.61111,0.113215
60,65.3012,0.923758,0,59.5878,N/A,0,0,0,0,148873,3868984,0.658527,13.2827,5.59,0.1139
61,65.4031,0.923958,0,59.7187,N/A,0,0,0,0,155747,3953208,0.653893,13.338,5.57434,0.11465
62,65.4562,0.924478,0,59.866,N/A,0,0,0,0,161871,4040446,0.648015,13.2987,5.5367,0.114618
63,65.5218,0.922936,0,59.959,N/A,0,0,0,0,167360,4114170,0.643224,13.3069,5.51576,0.114951
64,65.5142,0.921176,0,59.9547,N/A,0,0,0,0,172323,4184412,0.638124,13.287,5.4877,0.115031
65,65.4768,0.915365,0,59.9673,N/A,0,0,0,0,176878,4252396,0.632761,13.2467,5.44269,0.114865
66,65.3887,0.92117,0,59.9242,N/A,0,0,0,0,181162,4309772,0.627712,13.2069,5.40749,0.11471
67,65.3504,0.919366,0,59.7867,N/A,0,0,0,0,184896,4366736,0.622922,13.1756,5.36715,0.114593
68,65.208,0.920303,0,59.7043,N/A,0,0,0,0,188216,4419850,0.618328,13.1375,5.3288,0.114416
69,65.0161,0.919965,0,59.5899,N/A,0,0,0,0,191039,4469618,0.613956,13.1039,5.29795,0.114246
70,64.8205,0.914132,0,59.5092,N/A,0,0,0,0,193718,4512312,0.609427,13.0512,5.26653,0.113872
71,64.5982,0.91405,0,59.3604,N/A,0,0,0,0,196070,4549479,0.605039,12.9957,5.23026,0.113501
72,64.3677,0.911692,0,59.1968,N/A,0,0,0,0,197851,4576475,0.600617,12.9341,5.19386,0.113038
73,64.1138,0.908751,0,59.0225,N/A,0,0,0,0,199031,4601017,0.595972,12.8554,5.14936,0.112402
74,63.7864,0.904639,0,58.8376,N/A,0,0,0,0,199737,4619304,0.591376,12.7696,5.10725,0.111706
75,63.4129,0.89989,0,58.6549,N/A,0,0,0,0,200085,4638009,0.586885,12.6822,5.06752,0.110991
76,63.0642,0.896768,0,58.4514,N/A,0,0,0,0,200308,4649007,0.582572,12.6031,5.02834,0.110312
77,62.599,0.897643,0,58.3125,N/A,0,0,0,0,200434,4658435,0.578022,12.5026,4.98701,0.109461
78,62.1597,0.89241,0,58.1908,N/A,0,0,0,0,200474,4667863,0.573564,12.4041,4.94717,0.108611
79,61.7386,0.892422,0,58.0709,N/A,0,0,0,0,200504,4677225,0.569287,12.3093,4.9088,0.107798
80,61.3265,0.884421,0,57.9531,N/A,0,0,0,0,200524,4686653,0.565136,12.2186,4.87146,0.107013
81,60.9707,0.88656,0,57.8355,N/A,0,0,0,0,200554,4695453,0.561102,12.1313,4.83498,0.106257
82,60.5999,0.878281,0,57.7244,N/A,0,0,0,0,200584,4704253,0.557071,12.0412,4.79907,0.10548
83,60.2163,0.878009,0,57.6139,N/A,0,0,0,0,200614,4713053,0.553095,11.9524,4.7637,0.104716
84,59.8351,0.863133,0,57.5041,N/A,0,0,0,0,200641,4721853,0.549179,11.8651,4.72887,0.103962
85,59.4569,0.869488,0,57.3949,N/A,0,0,0,0,200661,4730983,0.545321,11.779,4.69457,0.10322
86,59.078,0.871562,0,57.2837,N/A,0,0,0,0,200669,4740775,0.541535,11.6948,4.66081,0.102496
87,58.7408,0.858968,0,57.168,N/A,0,0,0,0,200679,4749575,0.537849,11.6142,4.6276,0.101802
88,58.4035,0.857766,0,57.0606,N/A,0,0,0,0,200689,4758375,0.534169,11.5322,4.59491,0.101095
89,58.0429,0.85213,0,56.9535,N/A,0,0,0,0,200699,4767175,0.530548,11.4515,4.56274,0.100399
90,57.6958,0.843767,0,56.8468,N/A,0,0,0,0,200709,4775975,0.526985,11.372,4.53109,0.0997142
91,57.3277,0.843635,0,56.7406,N/A,0,0,0,0,200719,4784775,0.523478,11.2938,4.49993,0.09904
92,56.9889,0.850177,0,56.6347,N/A,0,0,0,0,200729,4794005,0.520027,11.2168,4.46926,0.0983763
93,56.7043,0.833923,0,56.5257,N/A,0,0,0,0,198980,4761880,0.516658,11.1422,4.43905,0.0977356
94,56.4052,0.834131,0,56.4167,N/A,0,0,0,0,197187,4712364,0.513418,11.0721,4.40966,0.0971308
95,56.0749,0.843965,0,56.3148,N/A,0,0,0,0,195334,4661869,0.510206,11.0004,4.38108,0.0965125
96,55.8101,0.825322,0,56.2147,N/A,0,0,0,0,194530,4653719,0.507078,10.9305,4.35326,0.0959104
97,55.5477,0.834135,0,56.1154,N/A,0,0,0,0,192738,4619560,0.504004,10.8619,4.32592,0.0953187
98,55.2962,0.812142,0,56.0173,N/A,0,0,0,0,189440,4526074,0.500994,10.7947,4.29914,0.0947393
99,55.0674,0.824873,0,55.9219,N/A,0,0,0,0,187294,4467518,0.498095,10.7299,4.27336,0.0941814
